filename,p/bar,Di,Df,Density,AVA,ASA,NAVA,NASA,UC_volume,Gamma_cage_window,DeltaD_cage_window,Eta_wall,Phi_accessible,hoa/kcal/mol,mmol/g,S(g1)
DB1-Uio66Zr-irmof10_A-irmof14_A_No17,0.015,10.06126,6.56005,0.806297,1107.66,990.029,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.893802249787841,0.23118055149729097,4.962863,0.07439,2.414915
DB1-Uio66Zr-irmof10_A-irmof14_A_No17,0.15,10.06126,6.56005,0.806297,1107.66,990.029,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.893802249787841,0.23118055149729097,5.053676,0.818043,26.588205
DB1-Uio66Zr-irmof8_A-imd_No4,0.015,8.68499,2.3057,1.10622,0.0,0.0,281.719,374.033,3454.13,3.7667476254499723,6.379290000000001,,0.0,7.219763,0.929686,153.56903
DB1-Uio66Zr-irmof8_A-imd_No4,0.15,8.68499,2.3057,1.10622,0.0,0.0,281.719,374.033,3454.13,3.7667476254499723,6.379290000000001,,0.0,8.135898,4.718138,239.765085
DB1-Uio66Zr-BDC_A-irmof7_A_No387,0.015,7.04952,3.70223,1.35624,0.0,0.0,123.732,251.394,2235.84,1.9041280525521105,3.34729,,0.0,7.716043,0.534723,144.64341
DB1-Uio66Zr-BDC_A-irmof7_A_No387,0.15,7.04952,3.70223,1.35624,0.0,0.0,123.732,251.394,2235.84,1.9041280525521105,3.34729,,0.0,7.007434,2.382788,139.75728
DB12-acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_freeONLY,0.015,8.49751,4.07254,1.27238,285.485,463.912,68.4281,126.453,4598.67,2.086538130994416,4.42497,1.6249960593376183,0.06207990571186887,6.358936,0.1408,11.12014
DB12-acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_freeONLY,0.15,8.49751,4.07254,1.27238,285.485,463.912,68.4281,126.453,4598.67,2.086538130994416,4.42497,1.6249960593376183,0.06207990571186887,6.423785,1.195951,72.091395
DB1-Uio66Zr-BDC_A-DABCO_A_No16,0.015,6.6053,2.90495,1.33217,0.0,0.0,55.6278,124.641,2235.84,2.273808499285702,3.70035,,0.0,11.025696,2.74447,549.86123
DB1-Uio66Zr-BDC_A-DABCO_A_No16,0.15,6.6053,2.90495,1.33217,0.0,0.0,55.6278,124.641,2235.84,2.273808499285702,3.70035,,0.0,10.146596,4.78224,240.072225
DB1-Uio66Zr-irmof10_A-irmof14_A_No191,0.015,10.06126,4.37171,0.893166,781.368,905.323,0.0,0.0,4791.32,2.301447259767917,5.6895500000000006,1.1586384392501357,0.16307990282427393,5.504283,0.087577,4.133675
DB1-Uio66Zr-irmof10_A-irmof14_A_No191,0.15,10.06126,4.37171,0.893166,781.368,905.323,0.0,0.0,4791.32,2.301447259767917,5.6895500000000006,1.1586384392501357,0.16307990282427393,5.34501,0.94466,37.19214
DB1-Uio66Zr-BDC_A-irmof6_A_No143,0.015,7.31796,3.26046,1.50032,0.0,0.0,102.402,209.421,2235.84,2.244456303711746,4.0575,,0.0,7.165844,0.37483,106.58785
DB1-Uio66Zr-BDC_A-irmof6_A_No143,0.15,7.31796,3.26046,1.50032,0.0,0.0,102.402,209.421,2235.84,2.244456303711746,4.0575,,0.0,8.043729,1.866573,118.369765
DB1-Uio66Zr-irmof6_A-irmof7_A_No160,0.015,6.39507,2.76469,1.48055,0.0,0.0,77.6965,169.393,2283.85,2.313123713689419,3.6303799999999997,,0.0,8.65112,1.378941,341.096195
DB1-Uio66Zr-irmof6_A-irmof7_A_No160,0.15,6.39507,2.76469,1.48055,0.0,0.0,77.6965,169.393,2283.85,2.313123713689419,3.6303799999999997,,0.0,9.394027,3.480045,273.25906
DB1-Uio66Zr-irmof10_A-irmof14_A_No41,0.015,10.06126,6.56005,1.03476,999.469,903.618,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.9040980760783976,0.20859992653381534,5.70335,0.111952,5.392885
DB1-Uio66Zr-irmof10_A-irmof14_A_No41,0.15,10.06126,6.56005,1.03476,999.469,903.618,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.9040980760783976,0.20859992653381534,5.375014,0.912349,40.978355
DB1-Uio66Zr-irmof6_A-NiC4_No14,0.015,7.35916,2.25975,1.51979,0.0,0.0,175.4,320.788,4567.71,3.2566257329350594,5.099410000000001,,0.0,8.060325,1.016315,232.40549
DB1-Uio66Zr-irmof6_A-NiC4_No14,0.15,7.35916,2.25975,1.51979,0.0,0.0,175.4,320.788,4567.71,3.2566257329350594,5.099410000000001,,0.0,8.709032,2.903469,245.29837
DB1-Uio66Zr-irmof6_A_No8,0.015,7.35932,2.61213,1.51549,0.0,0.0,83.7715,161.134,2283.85,2.817363607477423,4.74719,,0.0,8.237336,1.124632,284.05473
DB1-Uio66Zr-irmof6_A_No8,0.15,7.35932,2.61213,1.51549,0.0,0.0,83.7715,161.134,2283.85,2.817363607477423,4.74719,,0.0,8.197837,3.119541,281.659055
DB1-Uio66Zr-BDC_A_No22,0.015,7.33694,3.05058,1.63691,0.0,0.0,75.8398,148.043,2235.84,2.4050967357027186,4.28636,,0.0,7.584463,0.467434,144.704485
DB1-Uio66Zr-BDC_A_No22,0.15,7.33694,3.05058,1.63691,0.0,0.0,75.8398,148.043,2235.84,2.4050967357027186,4.28636,,0.0,8.256848,1.948521,149.56708
DB1-Uio66Zr-BDC_A-irmof7_A_No351,0.015,6.46004,3.04284,1.63102,0.0,0.0,56.5668,139.19,2235.84,2.1230298011068607,3.4172000000000002,,0.0,7.250057,0.529698,157.52735
DB1-Uio66Zr-BDC_A-irmof7_A_No351,0.15,6.46004,3.04284,1.63102,0.0,0.0,56.5668,139.19,2235.84,2.1230298011068607,3.4172000000000002,,0.0,8.455006,2.20688,186.377025
DB1-Uio66Zr-DPAC_A_No15,0.015,13.44287,8.57518,0.674027,2296.74,1325.52,0.0,0.0,6880.59,1.567648725741034,4.86769,0.5771310640298859,0.33379986309313586,5.370912,0.067327,2.39971
DB1-Uio66Zr-DPAC_A_No15,0.15,13.44287,8.57518,0.674027,2296.74,1325.52,0.0,0.0,6880.59,1.567648725741034,4.86769,0.5771310640298859,0.33379986309313586,5.357672,0.646324,25.039925
DB1-Uio66Zr-irmof10_A-irmof14_A_No478,0.015,10.06126,5.10407,0.830934,870.87,995.685,0.0,0.0,4791.32,1.97122296520228,4.957190000000001,1.1433221950463328,0.18175993254468498,5.539784,0.114885,4.964395
DB1-Uio66Zr-irmof10_A-irmof14_A_No478,0.15,10.06126,5.10407,0.830934,870.87,995.685,0.0,0.0,4791.32,1.97122296520228,4.957190000000001,1.1433221950463328,0.18175993254468498,5.111308,0.92078,31.028035
DB1-Uio66Zr-irmof10_A-irmof14_A_No350,0.015,10.06126,3.60259,0.83871,0.0,0.0,600.831,642.054,4791.32,2.7927851906545014,6.458670000000001,,0.0,8.641259,1.342783,136.07757
